Original Viral population,Original Host,Final_score,CRISPR score,Prophage blast score,WIsH score,Number of CRISPR matches,Max number of end mismatches detected in any CRISPR spacer,Prophage blast percent identity,Prophage blast viral contig coverage,tRNA match,Max number of end mismatches detected in host tRNA,Non-promiscuous tRNA match score,WIsH p-value,Viral population,Predicted host
Contig147432048||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00048662,Virus_043568,BAC_Host_246
Contig147443694||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0197031,Virus_043572,BAC_Host_246
Contig14747023||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000018902,Virus_002782,BAC_Host_246
Contig147474605||full,bin.160,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.86515E-10,Virus_043588,BAC_Host_246
Contig147513999||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0293711,Virus_043604,BAC_Host_246
Contig147536236||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000371849,Virus_043607,BAC_Host_246
Contig147569061||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0277576,Virus_043627,BAC_Host_246
Contig147573242||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00322191,Virus_043628,BAC_Host_246
Contig147610214||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000154288,Virus_043651,BAC_Host_246
Contig147610216||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0481235,Virus_043652,BAC_Host_246
Contig147629233||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00131515,Virus_043663,BAC_Host_246
Contig147637055||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000440513,Virus_043667,BAC_Host_246
Contig147708545||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000010807,Virus_043691,BAC_Host_246
Contig147720843||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0183722,Virus_043701,BAC_Host_246
Contig14779467||full,bin.160,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000000118956,Virus_002786,BAC_Host_246
Contig147808679||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00501797,Virus_043735,BAC_Host_246
Contig147827990||full,bin.160,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000000500351,Virus_043745,BAC_Host_246
Contig147831697||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0121181,Virus_043748,BAC_Host_246
Contig147844059||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00439835,Virus_043752,BAC_Host_246
Contig147862706||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0430623,Virus_043756,BAC_Host_246
Contig147893314||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000215855,Virus_043774,BAC_Host_246
Contig147905589||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000523214,Virus_043777,BAC_Host_246
Contig147905603||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000504447,Virus_043783,BAC_Host_246
Contig147924458||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00071511,Virus_043789,BAC_Host_246
Contig147932287||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000221433,Virus_043792,BAC_Host_246
Contig147954870||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0122606,Virus_043795,BAC_Host_246
Contig147956295||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00558515,Virus_043797,BAC_Host_246
Contig147963394||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0174277,Virus_043803,BAC_Host_246
Contig147967247||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000833274,Virus_043804,BAC_Host_246
Contig147973330||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000297353,Virus_043807,BAC_Host_246
Contig147973340||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000261379,Virus_043808,BAC_Host_246
Contig147997948||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00488501,Virus_043812,BAC_Host_246
Contig147998001||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0119425,Virus_043814,BAC_Host_246
Contig148004083||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000015636,Virus_043817,BAC_Host_246
Contig148004680||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000762906,Virus_043821,BAC_Host_246
Contig1480178||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0015289,Virus_000274,BAC_Host_246
Contig148028810||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000703554,Virus_043832,BAC_Host_246
Contig148029141||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0128744,Virus_043836,BAC_Host_246
Contig148059699||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0004506,Virus_043852,BAC_Host_246
Contig148065862||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000434555,Virus_043853,BAC_Host_246
Contig1480896||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0217693,Virus_000277,BAC_Host_246
Contig148102789||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000442066,Virus_043869,BAC_Host_246
Contig148110195||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00406142,Virus_043875,BAC_Host_246
Contig148115875||full,bin.160,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000000129668,Virus_043878,BAC_Host_246
Contig148135057||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0303928,Virus_043886,BAC_Host_246
Contig148147326||full,bin.160,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000302868,Virus_043892,BAC_Host_246
Contig148170624||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0239967,Virus_043899,BAC_Host_246
Contig14817782||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000486308,Virus_002792,BAC_Host_246
Contig14817827||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000478441,Virus_002793,BAC_Host_246
Contig148220036||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000798117,Virus_043929,BAC_Host_246
Contig148232788||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0208107,Virus_043932,BAC_Host_246
Contig148238613||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000350172,Virus_043934,BAC_Host_246
Contig148324950||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.032621,Virus_043966,BAC_Host_246
Contig148330870||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00448669,Virus_043971,BAC_Host_246
Contig148343086||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000102869,Virus_043976,BAC_Host_246
Contig148374066||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0283961,Virus_043993,BAC_Host_246
Contig148380287||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000195596,Virus_043996,BAC_Host_246
Contig148380771||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000827247,Virus_043997,BAC_Host_246
Contig148383928||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000104236,Virus_043999,BAC_Host_246
Contig148435725||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000191613,Virus_044019,BAC_Host_246
Contig148454221||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0289201,Virus_044029,BAC_Host_246
Contig148460325||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00640678,Virus_044033,BAC_Host_246
Contig148468552||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00356016,Virus_044039,BAC_Host_246
Contig148485613||full,bin.160,2.5,NaN,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4066E-12,Virus_044049,BAC_Host_246
Contig148516207||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000177143,Virus_044069,BAC_Host_246
Contig148522147||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000124556,Virus_044074,BAC_Host_246
Contig148534653||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000278448,Virus_044086,BAC_Host_246
Contig148553418||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00261559,Virus_044103,BAC_Host_246
Contig148602324||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012365,Virus_044117,BAC_Host_246
Contig148608455||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00667886,Virus_044119,BAC_Host_246
Contig148676564||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00222309,Virus_044161,BAC_Host_246
Contig148676594||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000587727,Virus_044162,BAC_Host_246
Contig148701398||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000577455,Virus_044171,BAC_Host_246
Contig148750546||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0234875,Virus_044189,BAC_Host_246
Contig148758458||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0153114,Virus_044193,BAC_Host_246
Contig14876672||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00607113,Virus_002800,BAC_Host_246
Contig148781491||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00922946,Virus_044204,BAC_Host_246
Contig148787986||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000166492,Virus_044209,BAC_Host_246
Contig148793725||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0249966,Virus_044211,BAC_Host_246
Contig148794714||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000596333,Virus_044213,BAC_Host_246
Contig148818421||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00682946,Virus_044227,BAC_Host_246
Contig148824659||full,bin.160,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000000240588,Virus_044236,BAC_Host_246
Contig148837173||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000388225,Virus_044247,BAC_Host_246
Contig148843290||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000223352,Virus_044251,BAC_Host_246
Contig148869042||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0100239,Virus_044256,BAC_Host_246
Contig148880189||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000203551,Virus_044263,BAC_Host_246
Contig148886300||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000130221,Virus_044265,BAC_Host_246
Contig148899556||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0308182,Virus_044270,BAC_Host_246
Contig148929495||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00370866,Virus_044283,BAC_Host_246
Contig148936810||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00204849,Virus_044288,BAC_Host_246
Contig148954154||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000703352,Virus_044298,BAC_Host_246
Contig149022373||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0445862,Virus_044327,BAC_Host_246
Contig149040909||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00571287,Virus_044345,BAC_Host_246
Contig149046990||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00341057,Virus_044347,BAC_Host_246
Contig149047153||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00641542,Virus_044352,BAC_Host_246
Contig149059409||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000327476,Virus_044355,BAC_Host_246
Contig149059410||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00754545,Virus_044356,BAC_Host_246
Contig149065634||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000302582,Virus_044360,BAC_Host_246
Contig149079371||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00160935,Virus_044370,BAC_Host_246
Contig149109240||full,bin.160,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.44716E-11,Virus_044381,BAC_Host_246
Contig149114955||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0150929,Virus_044382,BAC_Host_246
Contig149116812||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0158626,Virus_044383,BAC_Host_246
Contig149127252||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0488154,Virus_044385,BAC_Host_246
Contig149170672||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00534657,Virus_044412,BAC_Host_246
Contig149189483||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000999863,Virus_044419,BAC_Host_246
Contig14919977||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00688732,Virus_002809,BAC_Host_246
Contig149214235||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000757116,Virus_044429,BAC_Host_246
Contig149226146||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00892622,Virus_044432,BAC_Host_246
Contig149244639||full,bin.160,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000411396,Virus_044446,BAC_Host_246
Contig149250808||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000494261,Virus_044448,BAC_Host_246
Contig149263422||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000932398,Virus_044456,BAC_Host_246
Contig149300158||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.013794,Virus_044473,BAC_Host_246
Contig149318700||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000799277,Virus_044480,BAC_Host_246
Contig149361763||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000175491,Virus_044506,BAC_Host_246
Contig149362012||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00366401,Virus_044507,BAC_Host_246
Contig149387583||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0200241,Virus_044519,BAC_Host_246
Contig149392664||full,bin.160,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000000165199,Virus_044521,BAC_Host_246
Contig149417560||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0304201,Virus_044527,BAC_Host_246
Contig149460332||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000261921,Virus_044540,BAC_Host_246
Contig149460476||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000427735,Virus_044542,BAC_Host_246
Contig149518055||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0115811,Virus_044569,BAC_Host_246
Contig149540701||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000191247,Virus_044582,BAC_Host_246
Contig149541038||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000645602,Virus_044583,BAC_Host_246
Contig149584618||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00721072,Virus_044616,BAC_Host_246
Contig149620990||full,bin.160,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.40596E-11,Virus_044627,BAC_Host_246
Contig149621404||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0150284,Virus_044629,BAC_Host_246
Contig14964904||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0123455,Virus_002818,BAC_Host_246
Contig149670669||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00772984,Virus_044647,BAC_Host_246
Contig149676779||full,bin.160,2.5,NaN,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.84581E-13,Virus_044649,BAC_Host_246
Contig149781508||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000487227,Virus_044686,BAC_Host_246
Contig149806189||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00119144,Virus_044693,BAC_Host_246
Contig149806210||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000362721,Virus_044694,BAC_Host_246
Contig149824608||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000164861,Virus_044702,BAC_Host_246
Contig149824616||full,bin.160,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000000852684,Virus_044703,BAC_Host_246
Contig149850289||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00135951,Virus_044718,BAC_Host_246
Contig149855501||full,bin.160,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000146948,Virus_044720,BAC_Host_246
Contig149862937||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0252272,Virus_044724,BAC_Host_246
Contig149867931||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000147913,Virus_044726,BAC_Host_246
Contig149917357||full,bin.160,2.5,NaN,NaN,2.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.996E-16,Virus_044750,BAC_Host_246
Contig149929691||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000218561,Virus_044752,BAC_Host_246
Contig149942074||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00699333,Virus_044758,BAC_Host_246
Contig149985967||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00705946,Virus_044772,BAC_Host_246
Contig149997866||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00116221,Virus_044779,BAC_Host_246
Contig149998425||full,bin.160,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000000104466,Virus_044780,BAC_Host_246
Contig150016268||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0285578,Virus_044787,BAC_Host_246
Contig150022495||full,bin.160,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8865E-11,Virus_044789,BAC_Host_246
Contig150022500||full,bin.160,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000000104354,Virus_044790,BAC_Host_246
Contig150047167||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0184921,Virus_044799,BAC_Host_246
Contig150047235||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00631743,Virus_044811,BAC_Host_246
Contig150115138||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000334258,Virus_044853,BAC_Host_246
Contig150121394||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000975925,Virus_044860,BAC_Host_246
Contig150133675||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00148228,Virus_044864,BAC_Host_246
Contig150152448||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0139119,Virus_044875,BAC_Host_246
Contig1501611||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000157856,Virus_000282,BAC_Host_246
Contig150170693||full,bin.160,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000000945878,Virus_044884,BAC_Host_246
Contig150172766||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000801538,Virus_044887,BAC_Host_246
Contig150176841||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00431361,Virus_044889,BAC_Host_246
Contig150195421||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00113474,Virus_044896,BAC_Host_246
Contig150207780||full,bin.160,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000089465,Virus_044904,BAC_Host_246
Contig150232606||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00251075,Virus_044914,BAC_Host_246
Contig150251109||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000150142,Virus_044922,BAC_Host_246
Contig150282124||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0339329,Virus_044939,BAC_Host_246
Contig150295204||full,bin.160,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000000057239,Virus_044946,BAC_Host_246
Contig15033414||lt2gene,bin.160,2,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000000289698,Virus_048496,BAC_Host_246
Contig150368759||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00673785,Virus_044981,BAC_Host_246
Contig15038773||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00000242971,Virus_002830,BAC_Host_246
Contig150418224||full,bin.160,0.5,NaN,NaN,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0166595,Virus_045020,BAC_Host_246
Contig150418226||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00163019,Virus_045022,BAC_Host_246
Contig150430790||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00560237,Virus_045032,BAC_Host_246
Contig150461518||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00160696,Virus_045043,BAC_Host_246
Contig150467630||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000615571,Virus_045045,BAC_Host_246
Contig150479990||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00732369,Virus_045054,BAC_Host_246
Contig150510901||full,bin.160,1,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00667422,Virus_045061,BAC_Host_246
Contig150621718||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000641021,Virus_045100,BAC_Host_246
Contig150627786||full,bin.160,1.5,NaN,NaN,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000297033,Virus_045102,BAC_Host_246
