	VIRSorter category	Circular	Prophage	Gene count	Strand switches	potential AMG count	Transposase present	Possible Non-Viral Contig	Viral genes with host benefits	Viral genes with unknown function	Viral hypothetical genes	Viral structure genes	Viral genes with viral benefits	Viral replication genes
Contig133695676||full	0	False	0	8	0	0	False	0.0	0.0	1.0	6.0	0.0	0.0	1.0
Contig133701720||full	0	False	0	8	0	0	False	0.0	0.0	0.0	8.0	0.0	0.0	0.0
Contig13370588||full	0	False	0	14	0	0	False	0.07142857142857142	1.0	0.0	13.0	0.0	0.0	0.0
Contig13370596||full	0	False	0	9	2	0	False	0.0	0.0	1.0	7.0	0.0	0.0	1.0
Contig13370638||full	0	False	0	8	4	0	False	0.0	0.0	1.0	6.0	1.0	0.0	0.0
Contig13370639||full	0	False	0	5	1	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig13370640||full	0	False	0	8	3	0	False	0.125	1.0	2.0	5.0	0.0	0.0	0.0
Contig133707824||full	0	False	0	7	2	0	False	0.14285714285714285	1.0	0.0	6.0	0.0	0.0	0.0
Contig133707828||full	0	False	0	5	0	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig133707838||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig133713853||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig133715586||full	0	False	0	4	1	0	False	0.25	1.0	0.0	3.0	0.0	0.0	0.0
Contig133720067||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig133721381||full	0	False	0	4	1	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig133726090||full	0	False	0	4	0	0	False	0.0	0.0	1.0	3.0	0.0	0.0	0.0
Contig133738142||full	0	False	0	3	0	0	False	0.3333333333333333	1.0	0.0	2.0	0.0	0.0	0.0
Contig133740482||full	0	False	0	4	1	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig133744265||full	0	False	0	9	2	0	False	0.0	0.0	1.0	7.0	0.0	0.0	1.0
Contig133744266||full	0	False	0	13	5	0	False	0.0	0.0	2.0	10.0	0.0	1.0	0.0
Contig133744267||full	0	False	0	11	0	0	False	0.09090909090909091	1.0	0.0	6.0	0.0	2.0	2.0
Contig133744268||full	0	False	0	5	0	0	False	0.0	0.0	2.0	3.0	0.0	0.0	0.0
Contig133744269||full	0	False	0	18	0	0	False	0.05555555555555555	1.0	2.0	13.0	0.0	0.0	2.0
Contig133744273||full	0	False	0	16	0	1	False	0.125	2.0	1.0	12.0	0.0	0.0	1.0
Contig133744274||full	0	False	0	8	0	0	False	0.0	0.0	0.0	8.0	0.0	0.0	0.0
Contig133744275||full	0	False	0	5	0	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig133758792||full	0	False	0	4	0	0	False	0.0	0.0	1.0	3.0	0.0	0.0	0.0
Contig133762426||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig133768545||full	0	False	0	4	1	0	False	0.0	0.0	0.0	3.0	0.0	0.0	1.0
Contig133768555||full	0	False	0	6	1	0	False	0.0	0.0	1.0	5.0	0.0	0.0	0.0
Contig133768575||full	0	False	0	4	0	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig133780588||full	0	False	0	7	2	0	False	0.0	0.0	0.0	7.0	0.0	0.0	0.0
Contig133781724||full	0	False	0	7	1	0	False	0.0	0.0	0.0	6.0	0.0	1.0	0.0
Contig133786723||full	0	False	0	6	1	0	False	0.0	0.0	0.0	6.0	0.0	0.0	0.0
Contig133786743||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig133786793||full	0	False	0	3	0	0	False	0.3333333333333333	1.0	0.0	2.0	0.0	0.0	0.0
Contig133792829||full	0	False	0	3	1	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig133792831||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig133792859||full	0	False	0	4	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	1.0
Contig133798952||full	0	False	0	11	0	0	False	0.0	0.0	1.0	10.0	0.0	0.0	0.0
Contig133798979||full	0	False	0	5	2	0	False	0.2	1.0	0.0	4.0	0.0	0.0	0.0
Contig133804935||full	0	False	0	3	0	0	False	0.3333333333333333	1.0	0.0	2.0	0.0	0.0	0.0
Contig133811051||full	0	False	0	5	1	0	True	0.0	0.0	0.0	4.0	0.0	0.0	1.0
Contig133811062||full	0	False	0	3	1	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig13381377||full	0	False	0	77	4	0	False	0.012987012987012988	1.0	10.0	65.0	0.0	1.0	0.0
Contig133817999||full	0	False	0	4	0	1	False	0.5	2.0	0.0	2.0	0.0	0.0	0.0
Contig13382141||full	0	False	0	10	0	0	False	0.0	0.0	1.0	8.0	0.0	0.0	1.0
Contig13382142||full	0	False	0	36	1	2	False	0.0	0.0	0.0	36.0	0.0	0.0	0.0
Contig13382143||full	0	False	0	12	0	0	False	0.0	0.0	1.0	11.0	0.0	0.0	0.0
Contig13382147||full	0	False	0	13	1	0	False	0.0	0.0	1.0	12.0	0.0	0.0	0.0
Contig133823161||full	0	False	0	3	0	0	False	0.0	0.0	0.0	2.0	0.0	0.0	1.0
Contig133825193||full	0	False	0	4	2	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig133825413||full	0	False	0	14	0	0	True	0.0	0.0	1.0	11.0	0.0	0.0	2.0
Contig133829219||full	0	False	0	20	0	0	False	0.0	0.0	1.0	17.0	0.0	0.0	2.0
Contig133829221||full	0	False	0	26	2	0	False	0.0	0.0	1.0	24.0	1.0	0.0	0.0
Contig133829224||full	0	False	0	29	2	0	False	0.0	0.0	1.0	28.0	0.0	0.0	0.0
Contig133829230||full	0	False	0	3	0	0	False	0.3333333333333333	1.0	0.0	2.0	0.0	0.0	0.0
Contig133829416||full	0	False	0	3	1	0	False	0.0	0.0	1.0	2.0	0.0	0.0	0.0
Contig133835345||full	0	False	0	4	0	0	False	0.25	1.0	0.0	3.0	0.0	0.0	0.0
Contig133853559||full	0	False	0	8	3	0	False	0.125	1.0	0.0	7.0	0.0	0.0	0.0
Contig133853572||full	0	False	0	3	1	0	False	0.0	0.0	1.0	2.0	0.0	0.0	0.0
Contig133853621||full	0	False	0	3	1	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig133853937||full	0	False	0	4	2	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig133854088||full	0	False	0	9	0	0	False	0.1111111111111111	1.0	0.0	8.0	0.0	0.0	0.0
Contig133862002||full	0	False	0	12	0	1	False	0.16666666666666666	2.0	1.0	9.0	0.0	0.0	0.0
Contig133862219||full	0	False	0	11	3	0	False	0.0	0.0	0.0	11.0	0.0	0.0	0.0
Contig133865752||full	0	False	0	3	1	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig133877874||full	0	False	0	5	0	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig133878238||full	0	False	0	5	0	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig133883939||full	0	False	0	23	0	0	False	0.043478260869565216	1.0	1.0	19.0	1.0	1.0	0.0
Contig133883945||full	0	False	0	4	1	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig133883949||full	0	False	0	3	1	0	False	0.0	0.0	0.0	2.0	0.0	0.0	1.0
Contig133890057||full	0	False	0	7	1	0	False	0.0	0.0	0.0	7.0	0.0	0.0	0.0
Contig133890068||full	0	False	0	5	0	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig133890502||full	0	False	0	4	0	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig133896200||full	0	False	0	8	1	0	False	0.0	0.0	3.0	5.0	0.0	0.0	0.0
Contig133896201||full	0	False	0	6	0	0	False	0.0	0.0	1.0	4.0	1.0	0.0	0.0
Contig133902192||full	0	False	0	11	2	0	False	0.0	0.0	1.0	10.0	0.0	0.0	0.0
Contig133902195||full	0	False	0	7	2	0	False	0.0	0.0	0.0	7.0	0.0	0.0	0.0
Contig133902200||full	0	False	0	8	2	0	False	0.0	0.0	1.0	7.0	0.0	0.0	0.0
Contig133902203||full	0	False	0	3	1	0	False	0.3333333333333333	1.0	0.0	2.0	0.0	0.0	0.0
Contig133902212||full	0	False	0	5	2	0	True	0.0	0.0	0.0	4.0	0.0	0.0	1.0
Contig133902222||full	0	False	0	4	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	1.0
Contig133908282||full	0	False	0	7	0	0	False	0.0	0.0	0.0	6.0	0.0	0.0	1.0
Contig133914401||full	0	False	0	8	0	0	False	0.0	0.0	0.0	7.0	1.0	0.0	0.0
Contig133916714||full	0	False	0	4	2	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig133920479||full	0	False	0	19	2	0	False	0.21052631578947367	4.0	0.0	15.0	0.0	0.0	0.0
Contig133920488||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig13392181||full	0	False	0	6	0	0	False	0.3333333333333333	2.0	0.0	4.0	0.0	0.0	0.0
Contig133926602||full	0	False	0	9	1	0	False	0.1111111111111111	1.0	0.0	7.0	0.0	0.0	1.0
Contig133932682||full	0	False	0	5	0	0	True	0.0	0.0	0.0	4.0	0.0	0.0	1.0
Contig133932879||full	0	False	0	5	2	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig133938719||full	0	False	0	14	0	0	False	0.0	0.0	1.0	13.0	0.0	0.0	0.0
Contig133938724||full	0	False	0	5	2	0	False	0.0	0.0	0.0	4.0	1.0	0.0	0.0
Contig133938732||full	0	False	0	5	1	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig133938898||full	0	False	0	5	0	0	False	0.0	0.0	1.0	4.0	0.0	0.0	0.0
Contig133940248||full	0	False	0	5	0	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig133944745||full	0	False	0	8	1	0	False	0.0	0.0	0.0	7.0	0.0	0.0	1.0
Contig133944748||full	0	False	0	7	4	0	False	0.0	0.0	0.0	7.0	0.0	0.0	0.0
Contig133944795||full	0	False	0	10	0	0	False	0.0	0.0	0.0	10.0	0.0	0.0	0.0
Contig133944796||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig133944801||full	0	False	0	6	0	0	False	0.0	0.0	0.0	6.0	0.0	0.0	0.0
Contig133945543||full	0	False	0	4	1	0	False	0.0	0.0	1.0	3.0	0.0	0.0	0.0
Contig133950849||full	0	False	0	4	1	0	True	0.0	0.0	0.0	2.0	0.0	0.0	2.0
Contig133952663||full	0	False	0	7	2	0	False	0.0	0.0	0.0	7.0	0.0	0.0	0.0
Contig133952725||full	0	False	0	3	1	0	False	0.0	0.0	0.0	2.0	0.0	0.0	1.0
Contig133963028||full	0	False	0	3	1	0	False	0.3333333333333333	1.0	0.0	2.0	0.0	0.0	0.0
Contig133963038||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig133963048||full	0	False	0	4	2	0	False	0.0	0.0	0.0	3.0	0.0	0.0	1.0
Contig133963069||full	0	False	0	4	0	0	False	0.25	1.0	0.0	3.0	0.0	0.0	0.0
Contig133969192||full	0	False	0	6	0	0	False	0.0	0.0	2.0	4.0	0.0	0.0	0.0
Contig133969194||full	0	False	0	7	0	0	False	0.0	0.0	3.0	4.0	0.0	0.0	0.0
Contig133969196||full	0	False	0	15	8	5	True	0.06666666666666667	1.0	0.0	12.0	0.0	0.0	2.0
Contig133969233||full	0	False	0	11	1	0	False	0.09090909090909091	1.0	0.0	10.0	0.0	0.0	0.0
Contig133969238||full	0	False	0	5	0	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig133975266||full	0	False	0	5	2	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig133975279||full	0	False	0	8	7	0	False	0.0	0.0	1.0	7.0	0.0	0.0	0.0
Contig133976427||full	0	False	0	13	1	1	False	0.07692307692307693	1.0	0.0	11.0	0.0	1.0	0.0
Contig133976429||full	0	False	0	5	0	0	False	0.0	0.0	0.0	4.0	0.0	1.0	0.0
Contig133981440||full	0	False	0	7	0	0	False	0.0	0.0	0.0	7.0	0.0	0.0	0.0
Contig133983481||full	0	False	0	6	0	0	False	0.0	0.0	0.0	5.0	0.0	0.0	1.0
Contig133987479||full	0	False	0	51	1	0	False	0.0196078431372549	1.0	4.0	43.0	2.0	0.0	1.0
Contig133987480||full	0	False	0	23	2	0	False	0.0	0.0	1.0	20.0	0.0	2.0	0.0
Contig133987494||full	0	False	0	5	3	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig134005675||full	0	False	0	5	3	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig134011808||full	0	False	0	36	0	0	False	0.0	0.0	1.0	34.0	1.0	0.0	0.0
Contig134024104||full	0	False	0	5	0	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig134024182||full	0	False	0	6	0	0	False	0.0	0.0	0.0	6.0	0.0	0.0	0.0
Contig134024186||full	0	False	0	10	0	0	False	0.0	0.0	0.0	10.0	0.0	0.0	0.0
Contig134030242||full	0	False	0	4	0	1	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig134030246||full	0	False	0	3	1	0	False	0.3333333333333333	1.0	0.0	2.0	0.0	0.0	0.0
Contig134030252||full	0	False	0	3	1	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig134030419||full	0	False	0	6	0	0	False	0.0	0.0	0.0	6.0	0.0	0.0	0.0
Contig134032242||full	0	False	0	3	1	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig134036311||full	0	False	0	16	2	0	False	0.0	0.0	2.0	14.0	0.0	0.0	0.0
Contig134042373||full	0	False	0	8	0	0	False	0.0	0.0	0.0	8.0	0.0	0.0	0.0
Contig134048471||full	0	False	0	5	2	0	False	0.2	1.0	0.0	4.0	0.0	0.0	0.0
Contig134048479||full	0	False	0	3	0	0	False	0.3333333333333333	1.0	0.0	2.0	0.0	0.0	0.0
Contig134048481||full	0	False	0	11	4	0	False	0.0	0.0	1.0	4.0	6.0	0.0	0.0
Contig134048482||lt2gene	0	False	0	2	0	0	False	0.0	0.0	0.0	1.0	1.0	0.0	0.0
Contig134054583||full	0	False	0	3	1	0	False	0.6666666666666666	2.0	0.0	1.0	0.0	0.0	0.0
Contig134054611||full	0	False	0	4	1	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig134054634||full	0	False	0	3	1	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig134066737||full	0	False	0	8	0	0	False	0.125	1.0	2.0	4.0	1.0	0.0	0.0
Contig134066738||full	0	False	0	2	0	0	False	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Contig134072797||full	0	False	0	27	0	1	False	0.0	0.0	4.0	19.0	0.0	0.0	4.0
Contig134072798||full	0	False	0	5	0	0	False	0.0	0.0	1.0	3.0	0.0	0.0	1.0
Contig134072800||full	0	False	0	23	2	0	False	0.043478260869565216	1.0	2.0	16.0	2.0	0.0	2.0
Contig134072801||full	0	False	0	4	2	0	False	0.0	0.0	1.0	3.0	0.0	0.0	0.0
Contig134078960||full	0	False	0	3	0	0	False	0.3333333333333333	1.0	0.0	2.0	0.0	0.0	0.0
Contig134078987||full	0	False	0	3	0	0	False	0.6666666666666666	2.0	0.0	1.0	0.0	0.0	0.0
Contig13408321||full	0	False	0	6	3	0	False	0.0	0.0	0.0	6.0	0.0	0.0	0.0
Contig134085015||full	0	False	0	24	12	0	False	0.041666666666666664	1.0	0.0	23.0	0.0	0.0	0.0
Contig134085044||full	0	False	0	11	0	0	False	0.0	0.0	2.0	9.0	0.0	0.0	0.0
Contig134085155||full	0	False	0	4	2	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig134085156||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig134091083||full	0	False	0	16	1	0	False	0.0	0.0	1.0	15.0	0.0	0.0	0.0
Contig134093513||full	0	False	0	5	2	0	False	0.2	1.0	1.0	3.0	0.0	0.0	0.0
Contig134093514||full	0	False	0	5	0	0	False	0.0	0.0	1.0	4.0	0.0	0.0	0.0
Contig134097135||full	0	False	0	4	0	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig1341005||full	0	False	0	7	0	0	False	0.0	0.0	0.0	7.0	0.0	0.0	0.0
Contig134103213||full	0	False	0	6	2	0	False	0.0	0.0	0.0	6.0	0.0	0.0	0.0
Contig134103216||full	0	False	0	6	0	0	False	0.0	0.0	0.0	4.0	0.0	1.0	1.0
Contig134103344||full	0	False	0	4	0	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig134109285||full	0	False	0	3	1	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig134109334||full	0	False	0	6	1	0	False	0.0	0.0	0.0	6.0	0.0	0.0	0.0
Contig134115437||full	0	False	0	4	0	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig134121569||full	0	False	0	3	0	0	False	0.6666666666666666	2.0	0.0	1.0	0.0	0.0	0.0
Contig134121724||full	0	False	0	8	0	0	False	0.125	1.0	0.0	7.0	0.0	0.0	0.0
Contig134121725||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig134127667||full	0	False	0	3	0	0	False	0.0	0.0	1.0	2.0	0.0	0.0	0.0
Contig134130081||full	0	False	0	7	1	0	False	0.0	0.0	0.0	7.0	0.0	0.0	0.0
Contig134133705||full	0	False	0	6	2	0	False	0.0	0.0	1.0	5.0	0.0	0.0	0.0
Contig134139823||full	0	False	0	3	1	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig134139854||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig134142042||full	0	False	0	4	1	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig134151933||full	0	False	0	2	0	0	False	0.5	1.0	0.0	1.0	0.0	0.0	0.0
Contig134158030||full	0	False	0	5	2	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig134170143||full	0	False	0	20	1	0	False	0.05	1.0	0.0	19.0	0.0	0.0	0.0
Contig134170145||full	0	False	0	7	0	0	False	0.0	0.0	1.0	6.0	0.0	0.0	0.0
Contig134182334||full	0	False	0	11	1	1	False	0.0	0.0	1.0	9.0	0.0	0.0	1.0
Contig134182411||full	0	False	0	9	0	0	False	0.0	0.0	0.0	9.0	0.0	0.0	0.0
Contig134182771||full	0	False	0	8	1	0	False	0.0	0.0	1.0	7.0	0.0	0.0	0.0
Contig13419201||full	0	False	0	12	0	0	False	0.0	0.0	2.0	10.0	0.0	0.0	0.0
Contig134207201||full	0	False	0	24	8	0	False	0.041666666666666664	1.0	0.0	23.0	0.0	0.0	0.0
Contig134214371||full	0	False	0	6	0	0	False	0.0	0.0	1.0	5.0	0.0	0.0	0.0
Contig134218765||full	0	False	0	5	2	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig134224891||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig134230989||full	0	False	0	6	2	0	False	0.0	0.0	2.0	4.0	0.0	0.0	0.0
Contig134231075||full	0	False	0	5	1	0	False	0.0	0.0	0.0	4.0	0.0	0.0	1.0
Contig134237101||full	0	False	0	4	0	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig134237152||full	0	False	0	22	1	0	False	0.0	0.0	2.0	19.0	1.0	0.0	0.0
Contig134243191||full	0	False	0	6	0	0	False	0.0	0.0	0.0	6.0	0.0	0.0	0.0
Contig13424505||full	0	False	0	7	0	1	False	0.14285714285714285	1.0	2.0	4.0	0.0	0.0	0.0
Contig13425461||full	0	False	0	5	1	0	False	0.2	1.0	0.0	4.0	0.0	0.0	0.0
Contig134255230||full	0	False	0	3	1	0	True	0.0	0.0	0.0	2.0	0.0	0.0	1.0
Contig134255240||full	0	False	0	4	0	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig134261460||full	0	False	0	5	0	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig134267502||full	0	False	0	6	3	0	False	0.0	0.0	0.0	6.0	0.0	0.0	0.0
Contig134267855||full	0	False	0	5	1	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig134275991||full	0	False	0	15	2	0	False	0.06666666666666667	1.0	0.0	14.0	0.0	0.0	0.0
Contig134279641||full	0	False	0	18	0	0	False	0.0	0.0	1.0	17.0	0.0	0.0	0.0
Contig134279749||full	0	False	0	7	2	0	False	0.14285714285714285	1.0	0.0	6.0	0.0	0.0	0.0
Contig134285729||full	0	False	0	9	0	0	False	0.0	0.0	0.0	9.0	0.0	0.0	0.0
Contig134297920||full	0	False	0	4	0	0	False	0.25	1.0	1.0	2.0	0.0	0.0	0.0
Contig13429897||full	0	False	0	3	2	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig134303948||lt2gene	0	False	0	2	0	0	False	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Contig134305125||full	0	False	0	2	0	0	False	0.5	1.0	0.0	1.0	0.0	0.0	0.0
Contig134310021||full	0	False	0	4	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	1.0
Contig134310149||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig134316177||full	0	False	0	4	1	1	False	0.0	0.0	0.0	3.0	1.0	0.0	0.0
Contig134316191||full	0	False	0	5	0	1	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig134316198||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig134316214||full	0	False	0	12	5	0	False	0.0	0.0	0.0	12.0	0.0	0.0	0.0
Contig134316235||full	0	False	0	4	2	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig134328308||full	0	False	0	4	0	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig134328310||full	0	False	0	11	1	0	False	0.0	0.0	1.0	10.0	0.0	0.0	0.0
Contig134328311||full	0	False	0	8	0	0	False	0.0	0.0	2.0	6.0	0.0	0.0	0.0
Contig134328312||full	0	False	0	9	0	0	False	0.0	0.0	1.0	7.0	1.0	0.0	0.0
Contig134328315||full	0	False	0	6	0	0	False	0.0	0.0	1.0	4.0	0.0	1.0	0.0
Contig134328317||full	0	False	0	9	0	0	False	0.0	0.0	1.0	8.0	0.0	0.0	0.0
Contig134328318||full	0	False	0	3	2	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig134334333||full	0	False	0	7	0	0	False	0.0	0.0	0.0	7.0	0.0	0.0	0.0
Contig134334340||full	0	False	0	36	4	0	True	0.0	0.0	1.0	34.0	0.0	0.0	1.0
Contig134340168||full	0	False	0	57	2	0	False	0.017543859649122806	1.0	1.0	54.0	0.0	0.0	1.0
Contig134340419||full	0	False	0	6	0	0	False	0.0	0.0	0.0	6.0	0.0	0.0	0.0
Contig134340451||full	0	False	0	5	3	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig134346522||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig134352608||full	0	False	0	6	4	0	False	0.16666666666666666	1.0	0.0	5.0	0.0	0.0	0.0
Contig134352616||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig134352818||full	0	False	0	6	1	0	False	0.16666666666666666	1.0	0.0	5.0	0.0	0.0	0.0
Contig134358675||full	0	False	0	68	6	0	False	0.014705882352941176	1.0	3.0	63.0	0.0	1.0	0.0
Contig134359187||full	0	False	0	4	1	0	False	0.25	1.0	0.0	3.0	0.0	0.0	0.0
Contig134364665||full	0	False	0	15	1	1	False	0.0	0.0	0.0	13.0	0.0	0.0	2.0
Contig134364666||full	0	False	0	6	0	0	False	0.0	0.0	1.0	3.0	0.0	0.0	2.0
Contig134364667||full	0	False	0	8	1	0	False	0.0	0.0	2.0	6.0	0.0	0.0	0.0
Contig134365117||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig134382929||full	0	False	0	3	1	0	False	0.0	0.0	1.0	2.0	0.0	0.0	0.0
Contig134382939||full	0	False	0	4	1	0	True	0.0	0.0	0.0	3.0	0.0	0.0	1.0
Contig134384446||full	0	False	0	14	0	0	False	0.07142857142857142	1.0	0.0	13.0	0.0	0.0	0.0
Contig134384448||full	0	False	0	24	0	1	False	0.08333333333333333	2.0	1.0	21.0	0.0	0.0	0.0
Contig134384450||full	0	False	0	15	1	0	False	0.0	0.0	1.0	14.0	0.0	0.0	0.0
Contig134389024||full	0	False	0	5	1	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig134390224||full	0	False	0	4	1	1	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig134395128||full	0	False	0	10	3	0	False	0.0	0.0	0.0	10.0	0.0	0.0	0.0
Contig134395174||full	0	False	0	8	2	0	False	0.125	1.0	1.0	6.0	0.0	0.0	0.0
Contig134395176||full	0	False	0	6	0	0	False	0.0	0.0	0.0	6.0	0.0	0.0	0.0
Contig134395364||full	0	False	0	5	0	0	False	0.2	1.0	0.0	4.0	0.0	0.0	0.0
Contig134401182||full	0	False	0	23	2	0	False	0.043478260869565216	1.0	1.0	21.0	0.0	0.0	0.0
Contig134401183||full	0	False	0	31	0	0	False	0.0	0.0	1.0	30.0	0.0	0.0	0.0
Contig134401185||full	0	False	0	5	0	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig134401265||lt2gene	0	False	0	2	0	0	False	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Contig134401287||full	0	False	0	9	3	0	False	0.0	0.0	1.0	8.0	0.0	0.0	0.0
Contig134401291||full	0	False	0	9	0	0	False	0.0	0.0	1.0	8.0	0.0	0.0	0.0
Contig134401348||full	0	False	0	5	1	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig13440691||full	0	False	0	3	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig134407312||full	0	False	0	5	1	0	False	0.0	0.0	0.0	4.0	0.0	0.0	1.0
Contig134407777||full	0	False	0	3	1	0	False	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Contig134407967||full	0	False	0	4	1	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig134421415||full	0	False	0	7	1	0	False	0.14285714285714285	1.0	0.0	6.0	0.0	0.0	0.0
Contig134422418||full	0	False	0	4	3	0	False	0.0	0.0	0.0	4.0	0.0	0.0	0.0
Contig134425578||full	0	False	0	2	0	0	False	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Contig134427786||full	0	False	0	5	1	0	False	0.0	0.0	0.0	5.0	0.0	0.0	0.0
Contig134429416||full	0	False	0	91	12	1	False	0.0	0.0	14.0	65.0	6.0	2.0	4.0
Contig134431720||full	0	False	0	6	3	0	False	0.0	0.0	0.0	6.0	0.0	0.0	0.0
Contig134431734||full	0	False	0	4	0	0	False	0.0	0.0	0.0	3.0	0.0	0.0	1.0
Contig134439625||full	0	False	0	7	0	0	False	0.0	0.0	0.0	7.0	0.0	0.0	0.0
Contig13445988||full	0	False	0	17	0	1	False	0.058823529411764705	1.0	0.0	14.0	0.0	0.0	2.0
